X	Y	composition	n_cells
7.1410908699035645	-2.0337560176849365	[0.52 0.48]	50.0
7.551646947860718	-2.0337560176849365	[0.88235295 0.11764706]	68.0
7.96220326423645	-2.0337560176849365	[0.85333335 0.14666666]	75.0
8.372759342193604	-2.0337560176849365	[0.78571427 0.21428572]	28.0
-7.638927936553955	-1.5728943943977356	[1. 0.]	1.0
-7.228371858596802	-1.5728943943977356	[0.627907   0.37209302]	43.0
-6.817815542221069	-1.5728943943977356	[0.5208333  0.47916666]	48.0
-6.407259464263916	-1.5728943943977356	[0.48076922 0.5192308 ]	52.0
-5.996703624725342	-1.5728943943977356	[0.4509804  0.54901963]	51.0
-5.5861475467681885	-1.5728943943977356	[0.5 0.5]	46.0
-5.175591230392456	-1.5728943943977356	[0.61538464 0.3846154 ]	39.0
-4.765035152435303	-1.5728943943977356	[0.6976744  0.30232558]	43.0
-4.3544793128967285	-1.5728943943977356	[0.6923077  0.30769232]	26.0
-3.943923234939575	-1.5728943943977356	[0.8 0.2]	25.0
-3.5333670377731323	-1.5728943943977356	[0.5555556  0.44444445]	18.0
-3.122810959815979	-1.5728943943977356	[0.78571427 0.21428572]	14.0
-2.7122548818588257	-1.5728943943977356	[0.6 0.4]	5.0
-2.3016988039016724	-1.5728943943977356	[0.71428573 0.2857143 ]	14.0
-1.891142725944519	-1.5728943943977356	[0.9285714  0.07142857]	14.0
1.8038619756698608	-1.5728943943977356	[1. 0.]	2.0
2.214418053627014	-1.5728943943977356	[0.33333334 0.6666667 ]	3.0
2.6249741315841675	-1.5728943943977356	[0.73333335 0.26666668]	15.0
3.035530209541321	-1.5728943943977356	[0.75757575 0.24242425]	33.0
3.446086287498474	-1.5728943943977356	[0.70689654 0.29310346]	58.0
3.856642246246338	-1.5728943943977356	[0.7741935  0.22580644]	62.0
4.267198324203491	-1.5728943943977356	[0.525641   0.47435898]	78.0
4.677754640579224	-1.5728943943977356	[0.3243243 0.6756757]	74.0
5.088310718536377	-1.5728943943977356	[0.30864197 0.69135803]	81.0
5.498866558074951	-1.5728943943977356	[0.25274727 0.74725276]	91.0
5.9094226360321045	-1.5728943943977356	[0.3448276 0.6551724]	116.0
6.319978952407837	-1.5728943943977356	[0.3483146 0.6516854]	89.0
6.73053503036499	-1.5728943943977356	[0.328125 0.671875]	64.0
7.1410908699035645	-1.5728943943977356	[0.84615386 0.15384616]	39.0
7.551646947860718	-1.5728943943977356	[0.7966102  0.20338982]	59.0
7.96220326423645	-1.5728943943977356	[0.875 0.125]	72.0
8.372759342193604	-1.5728943943977356	[0.8235294 0.1764706]	68.0
-7.638927936553955	-1.112032800912857	[0.44444445 0.5555556 ]	18.0
-7.228371858596802	-1.112032800912857	[0.3148148 0.6851852]	54.0
-6.817815542221069	-1.112032800912857	[0.4 0.6]	60.0
-6.407259464263916	-1.112032800912857	[0.5 0.5]	48.0
-5.996703624725342	-1.112032800912857	[0.50877196 0.49122807]	57.0
-5.5861475467681885	-1.112032800912857	[0.38297874 0.61702126]	47.0
-5.175591230392456	-1.112032800912857	[0.5344828  0.46551725]	58.0
-4.765035152435303	-1.112032800912857	[0.9047619 0.0952381]	42.0
-4.3544793128967285	-1.112032800912857	[0.84444445 0.15555556]	45.0
